id;funcloc;material_number;equipment_description;status;sort_field;unique_id;qr_code_link;created_at
MGM000304;FP-01-PM7-DRY-GRP6-DC40;;DOCTOR;Installed;PM7.G6.DYC40/DR/GM;4656;https://www.safesave.info/MIC.php?id=Fajar-MotorList4656;2023-10-27 12:26:58
MGM000305;FP-01-PM7-DRY-GRP6-DC41;;DOCTOR;Installed;PM7.G6.DYC41/DR/GM;4657;https://www.safesave.info/MIC.php?id=Fajar-MotorList4657;2023-10-27 12:26:59
MGM000306;FP-01-PM7-DRY-GRP6-DC42;;DOCTOR;Installed;PM7.G6.DYC42/DR/GM;4658;https://www.safesave.info/MIC.php?id=Fajar-MotorList4658;2023-10-27 12:27:00
MGM000307;FP-01-PM7-DRY-GRP7-DC43;;DOCTOR;Installed;PM7.G7.DYC43/DR/GM;4659;https://www.safesave.info/MIC.php?id=Fajar-MotorList4659;2023-10-27 12:27:01
MGM000309;FP-01-PM7-DRY-GRP7-DC45;;DOCTOR;Installed;PM7.G7.DYC45/DR/GM;4660;https://www.safesave.info/MIC.php?id=Fajar-MotorList4660;2023-10-27 12:27:02
MGM000752;FP-01-PM7-DRY-GRP7-DC47;;DOCTOR;Installed;PM7.G7.DYC47/DR/GM;4661;https://www.safesave.info/MIC.php?id=Fajar-MotorList4661;2023-10-27 12:27:03
MGM000312;FP-01-PM7-DRY-GRP8-DC48;;DOCTOR;Installed;PM7.G8.DYC48/DR/GM;4662;https://www.safesave.info/MIC.php?id=Fajar-MotorList4662;2023-10-27 12:27:04
MGM000750;FP-01-PM7-DRY-GRP8-DC49;;DOCTOR;Installed;PM7.G8.DYC49/DR/GM;4663;https://www.safesave.info/MIC.php?id=Fajar-MotorList4663;2023-10-27 12:27:05
MGM000314;FP-01-PM7-DRY-GRP8-DC50;;DOCTOR;Installed;PM7.G8.DYC50/DR/GM;4664;https://www.safesave.info/MIC.php?id=Fajar-MotorList4664;2023-10-27 12:27:06
MGM000315;FP-01-PM7-DRY-GRP8-DC51;;DOCTOR;Installed;PM7.G8.DYC51/DR/GM;4665;https://www.safesave.info/MIC.php?id=Fajar-MotorList4665;2023-10-27 12:27:07
MGM000316;FP-01-PM7-DRY-GRP8-DC52;;DOCTOR;Installed;PM7.G8.DYC52/DR/GM;4666;https://www.safesave.info/MIC.php?id=Fajar-MotorList4666;2023-10-27 12:27:08
MGM000317;FP-01-PM7-DRY-GRP8-DC53;;DOCTOR;Installed;PM7.G8.DYC53/DR/GM;4667;https://www.safesave.info/MIC.php?id=Fajar-MotorList4667;2023-10-27 12:27:09
MGM000318;FP-01-PM7-DRY-GRP8-DC54;;DOCTOR;Installed;PM7.G8.DYC54/DR/GM;4668;https://www.safesave.info/MIC.php?id=Fajar-MotorList4668;2023-10-27 12:27:10
MGM000319;FP-01-PM7-DRY-GRP8-DC55;;DOCTOR;Installed;PM7.G8.DYC55/DR/GM;4669;https://www.safesave.info/MIC.php?id=Fajar-MotorList4669;2023-10-27 12:27:11
MGM000320;FP-01-PM7-DRY-GRP9-DC56;;DOCTOR;Installed;PM7.G9.DYC56/DR/GM;4670;https://www.safesave.info/MIC.php?id=Fajar-MotorList4670;2023-10-27 12:27:12
MGM000321;FP-01-PM7-DRY-GRP9-DC57;;DOCTOR;Installed;PM7.G9.DYC57/DR/GM;4671;https://www.safesave.info/MIC.php?id=Fajar-MotorList4671;2023-10-27 12:27:13
