id;funcloc;material_number;equipment_description;status;sort_field;unique_id;qr_code_link;created_at
EMO002302;FP-01-IN1-MSF-CWSY-P081;;MOTOR FOR COOLING WATER PUMP NO 2;Install;IN1.MSF.CWSY.P081/M/M-31B;5413;https://www.safesave.info/MIC.php?id=Fajar-MotorList5413;
EMO002269;FP-01-IN1-INS-WOSY-P020;;WASTE OIL MOTOR 1;Install;IN1.INS.WOSY.P020/M/M-33A;5414;https://www.safesave.info/MIC.php?id=Fajar-MotorList5414;
EMO002270;FP-01-IN1-INS-WOSY-P021;;WASTE OIL MOTOR 2;Install;IN1.INS.WOSY.P021/M/M-33B;5415;https://www.safesave.info/MIC.php?id=Fajar-MotorList5415;
EMO003130;FP-01-IN1-WFF-HPR1;10010658;"AC MOTOR;380V,50Hz,18.5kW,4P,180M,B3";Install;IN1.WFF.HPR1/M SCREW;5416;https://www.safesave.info/MIC.php?id=Fajar-MotorList5416;
EMO002264;FP-01-IN1-WFF-HPR1-TRV1;;MOTOR TRANSVERSAL UNTUK NEW  RFUSE HOPER;Install;IN1.WFF.HPR1.TRV1/M;5417;https://www.safesave.info/MIC.php?id=Fajar-MotorList5417;
EMO002293;FP-01-IN1-AFG-BFTR-SCBF;;MOTOR SCREW BAG FILTER;Install;IN1.AFG.BFTR/SCBF/M-51;5418;https://www.safesave.info/MIC.php?id=Fajar-MotorList5418;
EMO002294;FP-01-IN1-AFG-BFTR-RV01;;MOTOR FOR ROTARY VALVE B/F;Install;IN1.AFG.BFTR/RV01/BF/M-50;5419;https://www.safesave.info/MIC.php?id=Fajar-MotorList5419;
EMO005059;FP-01-IN1-AFG-BL08;;"AC MOTOR;380V,50Hz,55kW,4P,250M,B3";Install;IN1.AFG.BL08/GAH.CF/M;5420;https://www.safesave.info/MIC.php?id=Fajar-MotorList5420;
EMO003437;FP-01-IN2-ASF-F501;10023286;"AC MOTOR;3000V,50Hz,550kW,2P,400G,B3";Install;IN2-ASF-F501-M/F501;5421;https://www.safesave.info/MIC.php?id=Fajar-MotorList5421;
EMO002360;;10023285;"AC MOTOR;380V,50Hz,132kW,4P,280M";Available;IN2-ASF-F502-M/F502;5422;https://www.safesave.info/MIC.php?id=Fajar-MotorList5422;
EMO002361;;10023284;"AC MOTOR;3000V,50Hz,400kW,4P,355FL,B3";Available;IN2-ASF-F503-M/F503;5423;https://www.safesave.info/MIC.php?id=Fajar-MotorList5423;
EMO002305;;10023275;"AC MOTOR;380V,50HZ,300KW,4P,355L,B3";Available;IN2-WFF-X101-M/CRUSHER;5424;https://www.safesave.info/MIC.php?id=Fajar-MotorList5424;
EMO002328;FP-01-IN2-INF-V201;10025832;"AC MOTOR;380V,50Hz,1.5kW,6P,100L";Install;IN2-INF-V201-M2/V201 A;5425;https://www.safesave.info/MIC.php?id=Fajar-MotorList5425;
EMO002329;FP-01-IN2-INF-V201;10025832;MOTOR,VIBRATING,TYPE 156,1.5KW,3.5A,6P;Install;IN2-INF-V201-M1/V201 A;5426;https://www.safesave.info/MIC.php?id=Fajar-MotorList5426;
EMO003552;FP-01-IN2-INF-V201;10025832;MOTOR,VIBRATING,TYPE 156,1.5KW,3.5A,6P;Install;IN2-INF-V201-M1/V201 B;5427;https://www.safesave.info/MIC.php?id=Fajar-MotorList5427;
EMO003553;FP-01-IN2-INF-V201;10025832;MOTOR,VIBRATING,TYPE 156,1.5KW,3.5A,6P;Install;IN2-INF-V201-M2/V201 B;5428;https://www.safesave.info/MIC.php?id=Fajar-MotorList5428;
EMO002351;FP-01-IN2-WHF-T305;;MOTOR BOILER FEED WATER PUMP A;Install;IN2-WHF-T305-M/301 A;5429;https://www.safesave.info/MIC.php?id=Fajar-MotorList5429;
EMO002352;FP-01-IN2-WHF-T305;;MOTOR BOILER FEED WATER PUMP B;Install;IN2-WHF-T305-M/301 B;5430;https://www.safesave.info/MIC.php?id=Fajar-MotorList5430;
EMO002345;FP-01-IN2-WHF-T303;;MOTOR PH CONTROL FEEDPUMP A;Install;IN2-WHF-T303-M/302 A;5431;https://www.safesave.info/MIC.php?id=Fajar-MotorList5431;
EMO002346;FP-01-IN2-WHF-T303;;MOTOR PH CONTROL FEEDPUMP B;Install;IN2-WHF-T303-M/302 B;5432;https://www.safesave.info/MIC.php?id=Fajar-MotorList5432;
EMO002348;FP-01-IN2-WHF-T304;;MOTOR DEOXIDIZER FEED PUMP A;Install;IN2-WHF-T304-M/303 A;5433;https://www.safesave.info/MIC.php?id=Fajar-MotorList5433;
EMO002349;FP-01-IN2-WHF-T304;;MOTOR DEOXIDIZER FEED PUMP B;Install;IN2-WHF-T304-M/303  B;5434;https://www.safesave.info/MIC.php?id=Fajar-MotorList5434;
EMO002347;FP-01-IN2-WHF-T303;;MOTOR AGITATOR U/ PH TANK;Install;IN2-WHF-T303-M/X302;5435;https://www.safesave.info/MIC.php?id=Fajar-MotorList5435;
EMO002367;FP-01-IN2-ATF-C601;;MOTOR BOILER ASH DISCHARGE CONVEYOR (A);Install;IN2-ATF-C601-M/C601 A;5436;https://www.safesave.info/MIC.php?id=Fajar-MotorList5436;
EMO002368;FP-01-IN2-ATF-C601;;MOTOR BOILER ASH DISCHARGE CONVEYOR (B);Install;IN2-ATF-C601-M/C601 B;5437;https://www.safesave.info/MIC.php?id=Fajar-MotorList5437;
EMO002371;FP-01-IN2-ATF-C602;;MOTOR SCREW AIR HEATER ASH CONVEYOR;Install;IN2-ATF-C602-M/C602;5438;https://www.safesave.info/MIC.php?id=Fajar-MotorList5438;
