id;material_number;equipment_description;status;sort_field;unique_id;qr_code_link
EMO000942;10010669;"AC MOTOR;380V,50HZ,75KW,6P,143A,B";Installed;PM3-BR06/AGT/M;1984;https://www.safesave.info/MIC.php?id=Fajar-MotorList1984
EMO000274;;"AC MOTOR;380V,50Hz,7.5kW,4P,132M,B3";Installed;PM3-BR01/P47/M;1985;https://www.safesave.info/MIC.php?id=Fajar-MotorList1985
EMO000941;10011050;"AC MOTOR;380V,50HZ,110KW,6P,B";Installed;PM3-BR01/AGT/M;1986;https://www.safesave.info/MIC.php?id=Fajar-MotorList1986
EMO003499;10011112;"AC MOTOR;380V,50Hz,18.5kW,4P,180M,B3";Installed;SP3.C32/P40/M;1987;https://www.safesave.info/MIC.php?id=Fajar-MotorList1987
EMO002001;10010678;"AC MOTOR;380V,50Hz,22kW,4P,180L,B3";Installed;SP3.C32/P30/M;1988;https://www.safesave.info/MIC.php?id=Fajar-MotorList1988
EMO002648;10010923;"AC MOTOR;380V,50Hz,7.5kW,4P,132M,B3";Installed;SP3.C32/P29/M;1989;https://www.safesave.info/MIC.php?id=Fajar-MotorList1989
EMO002518;;"AC MOTOR;380V,50Hz,15kW,4P,160L,B3";Installed;SP3.C32/P6/M;1990;https://www.safesave.info/MIC.php?id=Fajar-MotorList1990
EMO000879;10010571;"AC MOTOR;380V,50HZ,30KW,6P,B";Installed;PM3.AP02/M;1991;https://www.safesave.info/MIC.php?id=Fajar-MotorList1991
EMO002859;10010617;MOTOR,AC,112M,ABB,3KW,6.5A,4P,380V;Installed;CH3.SUMPIT TANK/M;1992;https://www.safesave.info/MIC.php?id=Fajar-MotorList1992
EMO001049;;"AC MOTOR;380V,50Hz,22kW,4P,180L,B3";Installed;CH3.3CPHW03/M;1993;https://www.safesave.info/MIC.php?id=Fajar-MotorList1993
EMO001048;;MOTOR;Installed;CH3.3CPHW02/M;1994;https://www.safesave.info/MIC.php?id=Fajar-MotorList1994
EMO001047;;MOTOR;Installed;CH3.3CPHW01/M;1995;https://www.safesave.info/MIC.php?id=Fajar-MotorList1995
EMO003366;;MOTOR;Installed;CH3.C23.P/M;1996;https://www.safesave.info/MIC.php?id=Fajar-MotorList1996
EMO003364;;MOTOR;Installed;CH3.C21.P/M;1997;https://www.safesave.info/MIC.php?id=Fajar-MotorList1997
EMO000853;10010870;MOTOR,INDUCTION,5.5KW,11.2A,4P;Installed;CH3.C25.P2/M;1998;https://www.safesave.info/MIC.php?id=Fajar-MotorList1998
EMO001062;10010899;"AC MOTOR;380V,50Hz,11kW,4P,160M,B3";Installed;CH3.C25/M;1999;https://www.safesave.info/MIC.php?id=Fajar-MotorList1999
EMO002070;10011044;"AC MOTOR;380V,50Hz,45kW,4P,225M,B3";Installed;CH3.MC13/M;2000;https://www.safesave.info/MIC.php?id=Fajar-MotorList2000
EMO001058;;MOTOR;Installed;CH3.3C.DF01/M;2001;https://www.safesave.info/MIC.php?id=Fajar-MotorList2001
EMO001052;;"AC MOTOR;380V,50Hz,7.5kW,4P,132M,B5";Installed;CH3.C.27/M;2002;https://www.safesave.info/MIC.php?id=Fajar-MotorList2002
MGM000998;;"GR.MOTOR;7.5kW,i=3.07,SK672.1F-132MP,NOR";Installed;CH3.C.17/GM;2003;https://www.safesave.info/MIC.php?id=Fajar-MotorList2003
EMO001059;;"AC MOTOR;380V,50Hz,7.5kW,4P,160M,V1";Installed;CH3.MC.16/M;2004;https://www.safesave.info/MIC.php?id=Fajar-MotorList2004
EMO000431;10020815;"AC MOTOR;380V,50Hz,7.5kW,4P,132S,V1";Installed;CH3.3CSC01/M;2005;https://www.safesave.info/MIC.php?id=Fajar-MotorList2005
EMO001954;;"AC MOTOR;380V,50Hz,15kW,4P,160L,B3";Installed;CH3.CATIONIC PUMP/M;2006;https://www.safesave.info/MIC.php?id=Fajar-MotorList2006
EMO001057;;"AC MOTOR;380V,50Hz,3kW,4P,100L,B5";Installed;CH3.C06A/M;2007;https://www.safesave.info/MIC.php?id=Fajar-MotorList2007
EMO001056;;"AC MOTOR;380V,50Hz,3kW,4P,100L,B3";Installed;CH3.C06/M;2008;https://www.safesave.info/MIC.php?id=Fajar-MotorList2008
EMO001055;;"MOTOR;3.7kw;8.1A";Installed;CH3.MC01/M;2009;https://www.safesave.info/MIC.php?id=Fajar-MotorList2009
EMO005155;;"AC MOTOR;380V,50Hz,22kW,4P,180L,B3";Installed;SP3_DP_CN12/M;2010;https://www.safesave.info/MIC.php?id=Fajar-MotorList2010
EMO005156;;"AC MOTOR;380V,50Hz,45kW,4P,225M,B3";Installed;SP3_DP_CN13/M;2011;https://www.safesave.info/MIC.php?id=Fajar-MotorList2011
EMO005062;10035583;"AC MOTOR;3000V,50Hz,900kW,4P,400L,B3";Installed;SP3_DP_MD01/M;2012;https://www.safesave.info/MIC.php?id=Fajar-MotorList2012
EMO005063;10035583;"AC MOTOR;3000V,50Hz,900kW,4P,400L,B3";Installed;SP3_DP_MD02/M;2013;https://www.safesave.info/MIC.php?id=Fajar-MotorList2013
EMO005064;;"AC MOTOR;380V,50Hz,3kW,4P,100L,B5";Installed;SP3_DP_OU11/P/M;2014;https://www.safesave.info/MIC.php?id=Fajar-MotorList2014
EMO005065;;"AC MOTOR;380V,50Hz,3kW,4P,100L,B5";Installed;SP3_DP_OU12/P/M;2015;https://www.safesave.info/MIC.php?id=Fajar-MotorList2015
EMO005066;;"AC MOTOR;380V,50Hz,22kW,6P,200L,B3";Installed;SP3_DP_AP12/AGT/M;2016;https://www.safesave.info/MIC.php?id=Fajar-MotorList2016
EMO005067;;"AC MOTOR;380V,50Hz,22kW,6P,200L,B3";Installed;SP3_DP_AP13/AGT/M;2017;https://www.safesave.info/MIC.php?id=Fajar-MotorList2017
EMO005068;10035558;"AC MOTOR;380V,50Hz,315kW,8P,355L,B3";Installed;SP3_DP_PP15/5102P3/M;2018;https://www.safesave.info/MIC.php?id=Fajar-MotorList2018
EMO005070;;"AC MOTOR;380V,50Hz,3kW,4P,100L,B5";Installed;SP3_DP_PP15/FAN/M;2019;https://www.safesave.info/MIC.php?id=Fajar-MotorList2019
EMO005069;10035558;"AC MOTOR;380V,50Hz,315kW,8P,355L,B3";Installed;SP3_DP_PP16/5102P4/M;2020;https://www.safesave.info/MIC.php?id=Fajar-MotorList2020
EMO005071;;"AC MOTOR;380V,50Hz,3kW,4P,100L,B5";Installed;SP3_DP_PP16/FAN/M;2021;https://www.safesave.info/MIC.php?id=Fajar-MotorList2021
MGM000948;10034853;"GR.MOTOR;11kW,i=56.64,Z149-LE160MF4E,FLE";Installed;SP3.DP.CN14/RJC1/GM;2022;https://www.safesave.info/MIC.php?id=Fajar-MotorList2022
MGM000945;10034854;"GR.MOTOR;22kW,i=57.63,D169-LES180ZLJ4E,F";Installed;SP3.DP.CN15/RJC2/GM;2023;https://www.safesave.info/MIC.php?id=Fajar-MotorList2023
MGM000946;10034853;"GR.MOTOR;11kW,i=56.64,Z149-LE160MF4E,FLE";Installed;SP3.DP.CN16/RJC3/GM;2024;https://www.safesave.info/MIC.php?id=Fajar-MotorList2024
