id;emo;tag_name
FP-01-SP3-OCC-T012-P021;EMO000892;SP3.C12/P49A/M
FP-01-SP3-OCC-T012-P020;EMO000891;SP3.C12/P49/M
FP-01-SP3-OCC-T011-P019;EMO000093;SP3.C11/P21/M
FP-01-SP3-OCC-T010-P018;EMO000888;SP3.C10/P20/M
FP-01-SP3-OCC-T010-A010;EMO003668;SP3.C10/AGT10/M
FP-01-SP3-OCC-T009-P017;EMO002007;SP3.C9/P19/M
FP-01-SP3-OCC-T008-P016;EMO000457;SP3.C8/P18/M
FP-01-SP3-OCC-T008-P015;EMO000884;SP3.C8/P17/M
FP-01-SP3-OCC-T008-P013;EMO000882;SP3.C8/P15/M
FP-01-SP3-OCC-T007-P012;EMO000880;SP3.C7/P12/M
FP-01-SP3-OCC-T007-A009;EMO000881;SP3.C7/AGT7/M
FP-01-SP3-OCC-T006-P011;EMO003404;SP3.C6/P48/M
FP-01-SP3-OCC-T006-A008;EMO000878;SP3.C6/AGT6/M
FP-01-SP3-OCC-T005-P010;EMO000877;SP3.C5/P10/M
FP-01-SP3-OCC-T005-A007;EMO000865;SP3.C5/AGT5/M
FP-01-SP3-OCC-T004-P009;EMO000875;SP3.P-09/M
FP-01-SP3-OCC-T004-P008;EMO002906;SP3.C4/P13/M
FP-01-SP3-OCC-T004-A006;EMO000873;SP3.C4/AGT4B/M
FP-01-SP3-OCC-T004-A005;EMO000872;SP3.C4/AGT4A/M
FP-01-SP3-OCC-T003-P007;EMO000874;SP3.P-14/M
FP-01-SP3-OCC-T003-A004;EMO000870;SP3.C3/AGT3B/M
FP-01-SP3-OCC-T003-A003;EMO000869;SP3.C3/AGT3A/M
FP-01-SP3-OCC-T002-P006;EMO001941;SP3.C2/P8/M
FP-01-SP3-OCC-T002-A002;EMO003966;SP3.OCC.M
FP-01-SP3-OCC-T001-P005;EMO001629;SP3.C1/P7/M
AVLB;EMO000204;SP3.C1/AGT1/M
FP-01-SP3-OCC-SR09;EMO003132;SP3.RJ01/M
FP-01-SP3-OCC-SR08;EMO002923;SP3.SP.30/M
FP-01-SP3-OCC-SR07;EMO000977;SP3.SP.29/M
FP-01-SP3-OCC-SR05;EMO000975;SP3.SP.27/M
FP-01-SP3-OCC-SR04;EMO001011;SP3.SP.21/M
FP-01-SP3-OCC-SR03;EMO000972;SP3.SP.22/M
FP-01-SP3-OCC-SR02;EMO000076;SP3.SP.20/M
FP-01-SP3-OCC-SR01;EMO003528;SP3.SP.19/M
FP-01-SP3-OCC-RF02;EMO001003;SP3.SP.33/M
FP-01-SP3-OCC-PU02-SLPG;EMO000844;SP3.SP.12/M
FP-01-SP3-OCC-PU02-RAGG;EMO000863;SP3.SP.14/M
FP-01-SP3-OCC-PU02-P003;EMO000857;SP3.PUL2.P3/M
FP-01-SP3-OCC-PU02-HYPG;EMO000861;SP3.SP.10/M
FP-01-SP3-OCC-PU02;EMO000854;SP3.PUL2.GB/M
FP-01-SP3-OCC-PU01-TRSW;EMO000846;SP3.SP.05A/M
FP-01-SP3-OCC-PU01-TRSW;EMO000847;SP3.SP.05B/M
FP-01-SP3-OCC-PU01-SLPG;EMO002734;SP3.SP.11/M
FP-01-SP3-OCC-PU01-RAGG;EMO000851;SP3.SP.13/M
FP-01-SP3-OCC-PU01-P095;EMO000848;SP3.SP.05C/M
FP-01-SP3-OCC-PU01-P002;EMO001063;SP3.PUL1.P2/M
FP-01-SP3-OCC-PU01-P001;EMO003396;SP3.PUL1.P1/M
FP-01-SP3-OCC-PU01-OU01;EMO000979;SP3.PUL1.OIL.P/M
FP-01-SP3-OCC-PU01-HYPG;EMO000852;SP3.SP.09/M
FP-01-SP3-OCC-PU01;EMO003074;SP3.PUL1.GB/M
FP-01-SP3-OCC-FR02;EMO000987;SP3.SP.24/M
FP-01-SP3-OCC-FR01;EMO003325;SP3.SP.23/M
FP-01-SP3-OCC-CN02;EMO000856;SP3.CON2.GB/M
FP-01-SP3-OCC-CN01;EMO000842;SP3.CON1.GB/M
FP-01-SP3-OCC-CL02-P192;EMO000585;SP3.P.05
FP-01-SP3-BRS-TH09;EMO001002;SP3.BR05/GB2/M
FP-01-SP3-BRS-TH09;EMO002878;SP3.BR05/GB1/M
FP-01-SP3-BRS-T027-P041;EMO001939;SP3.C28/P36/M
FP-01-SP3-BRS-T027-P040;EMO000919;SP3.C28/P35/M
FP-01-SP3-BRS-T027-A019;EMO000918;SP3.C28/AGT14/M
FP-01-SP3-BRS-T026-P039;EMO000917;SP3.C27/P38/M
FP-01-SP3-BRS-T026-A018;EMO000916;SP3.C27/AGT27/M
FP-01-SP3-BRS-SR15;EMO000985;SP3.BR04/M
FP-01-SP3-BRS-DEF3;EMO001007;PM3.BR03/M
FP-01-SP3-APS-T022-P036;EMO001567;SP3.C23/P28/M
FP-01-SP3-APS-T021-P035;EMO003425;SP3.C22/P26/M
FP-01-SP3-APS-T021-A017;EMO000911;SP3.C22/AGT12/M
FP-01-SP3-APS-T020-P121;EMO003328;SP7.P-2-26/M
FP-01-SP3-APS-T020-P034;EMO001583;SP3.C21/P25/M
FP-01-SP3-APS-T020-A016;EMO000909;SP3.C21/AGT13/M
FP-01-PM3-WRS-T102-P110;EMO001680;PM3.P-72/M
FP-01-PM3-WRS-T076;EMO000969;PM3-SWECO/GB2/M
FP-01-PM3-WRS-T075;EMO000968;PM3-SWECO/GB1/M
FP-01-PM3-WRS-T036-P075;EMO003614;SP3.C37.P87/M
FP-01-PM3-WRS-T036-P060;EMO000939;SP3.C37/P58/M
FP-01-PM3-WRS-T036-P059;EMO000938;SP3.C37/P57/M
FP-01-PM3-WRS-T035-P058;EMO000488;SP3.C36.P82/M
FP-01-PM3-WRS-T034-P057;EMO004926;SP3.C35.P81/M
FP-01-PM3-WRS-T033-P056;EMO003123;PM3.C34.P84A/M
FP-01-PM3-WRS-T033-P055;EMO000934;SP3.C34/P80/M
FP-01-PM3-WRS-T033-P054;EMO003956;PM3.C34/P84/M
FP-01-PM3-WRS-T033-P053;EMO000932;SP3.C34/P55/M
FP-01-PM3-WRS-T033-P052;EMO002899;SP3.C34/P54/M
FP-01-PM3-VAS-VP09;EMO001881;PM3.VP09/M
FP-01-PM3-VAS-VP08;EMO001015;PM3.VP08/M
FP-01-PM3-VAS-VP07;EMO001014;PM3.VP07/M
FP-01-PM3-VAS-VP06;EMO001637;PM3.VP06/M
FP-01-PM3-VAS-VP05;EMO001012;PM3.VP05/M
FP-01-PM3-VAS-VP04;EMO003933;PM3.VP04/M
FP-01-PM3-VAS-VP03;EMO003671;PM3.VP03/M
FP-01-PM3-VAS-VP02;EMO001009;PM3.VP02/M
FP-01-PM3-VAS-VP01;EMO001008;PM3.VP01/M
FP-01-PM3-VAS-T073-P074;EMO003113;PM3-VAC1/P74/M
FP-01-PM3-VAS-T073-P073;EMO000965;PM3-VAC1/P73/M
FP-01-PM3-VAS-T072-P072;EMO002167;PM3-SEAL PIT3/P79/M
FP-01-PM3-VAS-T071-P071;EMO000963;PM3-SEAL PIT2/P66/M
FP-01-PM3-VAS-T070-P070;EMO003843;PM3-SEAL PIT1/P59/M
FP-01-PM3-VAS-T061-P069;EMO005039;PM3-VS6/P67/M
FP-01-PM3-VAS-T060-P068;EMO001275;PM3-VS5/P69/M
FP-01-PM3-STC-T054-P091;EMO003995;PM3-FT4/DP4/M
FP-01-PM3-STC-T051-P090;EMO003288;PM3-FT1/DP3/M
FP-01-PM3-STC-T050-P089;EMO003099;PM3-DT1/DP2/M
FP-01-PM3-STC-T050-P088;EMO000956;PM3-DT1/DP1/M
FP-01-PM3-RHD-CN09;EMO003368;PM3.RH-09/M2
FP-01-PM3-RHD-CN04;EMO003367;PM3.RH-04/M2
FP-01-PM3-LUB-T093-P097;EMO002590;PM3.P/LUB/P1/M
FP-01-PM3-LUB-T093-P098;EMO002589;PM3.P/LUB/P2/M
FP-01-PM3-LUB-T093-P099;EMO000026;PM3.P/LUB/P3/M
FP-01-PM3-LUB-T094-P100;EMO002591;PM3.T1.LUB/P1/M
FP-01-PM3-LUB-T094-P101;EMO002592;PM3.T1.LUB/P2/M
