emo;manufacture;serial_number;type;power_rate;power_unit;voltage;current_nominal;frequency;pole;rpm;bearing_de;bearing_nde;frame_type;shaft_diameter;phase_supply;cos_phi;efficiency;ip_rating;insulation_class;duty;connection_type;nipple_grease;greasing_type;greasing_qty_de;greasing_qty_nde;length;width;height;weight;cooling_fan;mounting
EMO001042;SCROCH;206817017/10;KA7;100;HP;380;126;50;4;1780;NU316J;6313C3;280S;75;3;;0.95;55;F;;Delta;Available;;;;370;460;280;;Internal;Horizontal
EMO001041;SCROCH;20152501/9;KA7;75;kW;380;139;50;4;1485;NU316J;6316C3;280S;75;3;0.86;;54;F;S1;Delta;Available;;;;370;460;280;;Internal;Horizontal
EMO001040;SCROCH;20152502/10;KA7;75;kW;380;139;50;4;1475;NU316J;6316;280S;75;3;0.86;;54;F;S1;Delta;Available;;;;370;460;280;;Internal;Horizontal
EMO001039;SCROCH;20152502/9;KA7;75;kW;380;139;50;4;1475;NU316J;6316;280S;75;3;0.86;;54;F;S1;Delta;Available;;;;370;460;280;;Internal;Horizontal
EMO001038;SCROCH;20152502/6;KA7;75;kW;380;139;50;4;1475;NU316J;6316;280S;75;3;0.86;;54;F;S1;Delta;Available;;;;370;460;280;;Internal;Horizontal
EMO000951;ABB;3296809;M2BA;110;kW;380;200;50;4;1486;6319;6316;315S;80;3;0.88;;55;F;;Delta;Available;;;;"457
404";508;315;;Internal;Horizontal
EMO003512;TECO;FC143281T1-1;AEJT;300;kW;3000;75.4;50;6;985;NU330;6322;400;;3;;;55;F;;;Available;;;;800;710;400;;Internal;Horizontal
EMO000949;TECO;P9538201;AEEB;132;kW;380;242;50;4;1480;NU320;6316;315;;3;;;55;F;;Delta;Available;;;;419;508;715;;Internal;Horizontal
EMO002931;TECO;D56333C-1;AEJT;300;kW;3000;73.6;50;6;982;NU220;6322;400A;;3;;;55;F;;;Available;;;;800;710;400;;Internal;Horizontal
EMO000947;TECO;P9539841;AEEB;110;kW;380;205;50;4;1486;NU318;6316;280;80;3;;;55;F;;Delta;Available;;;;419;457;280;;Internal;Horizontal
EMO000946;Siemens;73369;ILA;45;kW;380;88;50;6;975;;;280M;;3;;;55;F;S1;Delta;Available;;;;368;457;280;;Internal;Horizontal
EMO000945;TECO;C56103-5;AEEB;75;kW;380;143;50;6;975;NU318;6316;;;3;;;55;F;;Delta;Available;;;;;;;;;
EMO000944;ABB;3237086;M2BA;90;kW;380;165;50;4;1481;6316;6316;280;75;3;0.88;;55;F;;Delta;Available;;;;"368 
419";457;280;;Internal;Horizontal
EMO000942;TECO;C56103-3;AEEB;75;kW;380;143;50;6;975;NU318;6316;280;80;3;;;55;F;;Delta;Available;;;;419;457;280;;Internal;Horizontal
EMO000274;TECO;18710005067;AEEBKB;7.5;kW;380;16.2;50;4;1450;6308;6306;132;;3;0.86;;55;F;S1;Delta;Available;;;;;;132;;Internal;Horizontal
EMO000941;TECO;C56106-4;AEEB;110;kW;380;210;50;6;979;NU320;6316;315;;3;;;55;F;;Delta;Available;;;;;;315;;Internal;Horizontal
