id;funcloc;material_number;equipment_description;status;sort_field;unique_id;qr_code_link;created_at
EMO000245;FP-01-PM1-LUB-T270-P286;;"MOTOR AC ABB MBT;7,5KW;16,4A;4P;380V;V";Installed;PM1.LUB.T5/P2/M;426;https://www.safesave.info/MIC.php?id=Fajar-MotorList426;2023-10-26 14:52:03
EMO000248;FP-01-PM1-LUB-T272-P289;;"AC MOTOR;380V,50HZ,5.5KW";Installed;PM1.LUB.T7/P1/M;427;https://www.safesave.info/MIC.php?id=Fajar-MotorList427;2023-10-26 14:52:04
EMO000249;FP-01-PM1-LUB-T272-P290;;"AC MOTOR;380V,50HZ,5.5KW";Installed;PM1.LUB.T7/P2/M;428;https://www.safesave.info/MIC.php?id=Fajar-MotorList428;2023-10-26 14:52:05
EMO000305;FP-01-PM1-MCS-BL08;;"MOTOR ACHXR;132KW;258A";Installed;PM1.MCS.BLW2/M;429;https://www.safesave.info/MIC.php?id=Fajar-MotorList429;2023-10-26 14:52:06
EMO000335;FP-01-PM1-WRS-T102-P138;;"AC MOTOR;380V,50HZ,110KW,2P,B";Installed;PM1.SWR.C1/P1/M;430;https://www.safesave.info/MIC.php?id=Fajar-MotorList430;2023-10-26 14:52:07
EMO000337;FP-01-PM1-WRS-T102-P139;;"AC MOTOR;380V,50HZ,90KW,2P,B";Installed;PM1.SWR.C1/P2/M;431;https://www.safesave.info/MIC.php?id=Fajar-MotorList431;2023-10-26 14:52:08
EMO000836;FP-01-PM1-WRS-T102-P140;;"AC MOTOR;380V,50HZ,90KW,2P,B";Installed;PM1.SWR.C1/P3/M;432;https://www.safesave.info/MIC.php?id=Fajar-MotorList432;2023-10-26 14:52:09
EMO000338;FP-01-SP1-ONP-T260-P292;;"AC MOTOR;380V,50HZ,75KW,2P,B";Installed;SP1.ONP/T(SW)/P/M;433;https://www.safesave.info/MIC.php?id=Fajar-MotorList433;2023-10-26 14:52:10
EMO000834;FP-01-PM1-WRS-T102-P142;;"AC MOTOR;380V,50HZ,132KW,2P,315S,B3";Installed;PM1.SWR.C1/P5/M;434;https://www.safesave.info/MIC.php?id=Fajar-MotorList434;2023-10-26 14:52:11
EMO003291;FP-01-PM1-WRS-T105-P145;;"AC MOTOR;380V,50Hz,55kW,4P,250S,B3";Installed;PM1.CWR.T2.P1/M;435;https://www.safesave.info/MIC.php?id=Fajar-MotorList435;2023-10-26 14:52:12
EMO003406;FP-01-PM1-WRS-T105-P146;;MOTOR,AC,AEEB250S,TECO,55KW,102A,4P,380V;Installed;PM1.CWR.T2/P2/M;436;https://www.safesave.info/MIC.php?id=Fajar-MotorList436;2023-10-26 14:52:13
EMO003455;FP-01-PM1-COT-T211-P213;;MOTOR,AC,AEEB180L,TECO,11KW,21.5A,4P380V;Installed;PM1.COT.T5/P2/M;437;https://www.safesave.info/MIC.php?id=Fajar-MotorList437;2023-10-26 14:52:14
EMO003496;FP-01-PM1-WET-FOR1-EV02;;MOTOR,AC,AEVB,TECO,0.37 KW,1.4A,4P,380V;Installed;PM1.F1.HB/ER2/GM/M;438;https://www.safesave.info/MIC.php?id=Fajar-MotorList438;2023-10-26 14:52:15
EMO003569;FP-01-PM1-WET-FORM;;"MOTOR;BOTTOM FELT STRECHER";Installed;PM1.WET.FORM/M;439;https://www.safesave.info/MIC.php?id=Fajar-MotorList439;2023-10-26 14:52:16
EMO003399;FP-01-PM1-LUB-T268-P269;;"AC MOTOR;380V,50HZ,18.5KW,4P,180M,B3";Installed;PM1.LUB.T3/P3/M;440;https://www.safesave.info/MIC.php?id=Fajar-MotorList440;2023-10-26 14:52:17
EMO003571;FP-01-PM1-LUB-T268-P270;;"AC MOTOR;380V,50HZ,18.5KW,4P";Installed;PM1.LUB.T3/P4/M;441;https://www.safesave.info/MIC.php?id=Fajar-MotorList441;2023-10-26 14:52:18
EMO003925;FP-01-PM1-WET-FOR1-EV01;;"AC MOTOR;380V,50Hz,0.75kW,4P,80M,V1";Installed;PM1.F1.HB/ER1/GM/M;442;https://www.safesave.info/MIC.php?id=Fajar-MotorList442;2023-10-26 14:52:19
EMO003059;FP-01-PM1-EFF-T264-P274;;"AC MOTOR ABB ;380V,50Hz,75kW,4P,315S,B3";Installed;PM1.EFF.PIT1/P1/M;444;https://www.safesave.info/MIC.php?id=Fajar-MotorList444;2023-10-26 14:52:20
EMO001945;FP-01-PM1-HOO-ECO2-BL15;;"AC MOTOR;380V,50HZ,55KW,4P";Installed;PM1.HOO.ECO2/IDF/M;445;https://www.safesave.info/MIC.php?id=Fajar-MotorList445;2023-10-26 14:52:21
