"id";"tag_name";"created_at";"updated_at"
"FP-01-FN1-CUT-WRP3-FC01-STGE";"FN1.WRP3.STGE(F/R)/GM/M";"2023-10-26 14:45:21";NULL
"FP-01-FN1-CUT-WRP3-FD01-RC06";"FN1.WRP3.FD01.RC06/R1/GM/M";"2023-10-26 14:45:21";NULL
"FP-01-FN1-CUT-WRP3-FD01-TRC1";"FN1.WRP3.FD01.TRC1/TRIM/GM-M";"2023-10-26 14:45:21";NULL
"FP-01-FN1-CUT-WRP3-FD01-WFR1";"FN1.WRP3.FD01.WFR1/R/GM/M";"2023-10-26 14:45:21";NULL
"FP-01-FN1-CUT-WRP3-GD01-RC09";"FN1.WRP3.GD01.RC09/R1/GM/M";"2023-10-26 14:45:21";NULL
"FP-01-FN1-CUT-WRP3-GD01-RWS1";"FN1.WRP3.GD01.RWS1/R.UN/GM/M";"2023-10-26 14:45:21";NULL
"FP-01-FN1-CUT-WRP3-GD01-RWS2";"FN1.WRP3.GD01.RWS2/R.UN/GM/M";"2023-10-26 14:45:21";NULL
"FP-01-FN1-CUT-WRP3-SD01-CN4A";"FN1.WRP3.SD01.CN4A/FS/GM/M";"2023-10-26 14:45:21";NULL
"FP-01-FN1-CUT-WRP3-SF01-RC18";"FN1.WRP3.SF01.RC18/R1/GM/M";"2023-10-26 14:45:21";NULL
"FP-01-FN1-CUT-WRP3-SS01-EP02";"FN1.WRP3.SS01/EMPTY-CONV1/GM/M";"2023-10-26 14:45:21";NULL
"FP-01-FN1-CUT-WRP3-SS01-EP03";"FN1.WRP3.SS01/EMPTY-CONV2/GM/M";"2023-10-26 14:45:21";NULL
"FP-01-FN1-CUT-WRP3-SS01-LF02";"FN1.WRP3.SS01.LF02/LIFTER/GM-M";"2023-10-26 14:45:21";NULL
"FP-01-FN1-CUT-WRP3-SS01-LF03";"FN1.WRP3.SS01.LF03/L.CN/GM-M";"2023-10-26 14:45:21";NULL
"FP-01-FN1-CUT-WRP3-SS01-SDC1";"FN1.WRP3.SS01/SKID-CONV/GM-M";"2023-10-26 14:45:21";NULL
"FP-01-FN1-CUT-WRP3-SS01-SDC2";"FN1.WRP3.SS01/SKID-CONV2/GM-M";"2023-10-26 14:45:21";NULL
"FP-01-FN1-CUT-WRPR";"WRAPPING ROLL/TABLE 1/RL/GM";"2023-10-26 14:45:21";NULL
"FP-01-FN1-CUT-WRPR-CRN1";"FIN1.WRPR.CRN.5TON/GB/M";"2023-10-26 14:45:21";NULL
"FP-01-FN1-HYD-T350-P371";"FN1.HYD.SC02/LIFT.TBLE/HP4-01A";"2023-10-26 14:45:21";NULL
"FP-01-FN1-HYD-T350-P372";"FN1.HYD.SC02/LIFT.TBLE/HP4-01B";"2023-10-26 14:45:21";NULL
"FP-01-FN1-HYD-T351-P373";"FN1.HYD.CUT.SC03/UN.W/HP4-02/M";"2023-10-26 14:45:21";NULL
"FP-01-FN1-HYD-T352-P374";"FN1.HYD.SC03/LIFT.TBLE/HP4-03A";"2023-10-26 14:45:21";NULL
