"id";"funcloc";"material_number";"equipment_description";"status";"sort_field";"unique_id";"qr_code_link";"created_at";"updated_at"
"EMO000087";"FP-01-SP1-UKP-T065-P086";;"AC MOTOR;380V,50Hz,45kW,4P,225M,B3";"Installed";"SP1.UK.C1/P1/M";"816";"https://www.safesave.info/MIC.php?id=Fajar-MotorList816";"2023-10-26 14:45:21";NULL
"EMO000088";"FP-01-PM1-AP3-T159-A041";;"MOTOR AC TECO AEEB ;22KW;45,9A;6P;380V;200L,B3";"Installed";"PM1.APP3.C(BL)/AGT/M";"263";"https://www.safesave.info/MIC.php?id=Fajar-MotorList263";"2023-10-26 14:45:21";NULL
"EMO000090";"FP-01-PM3-HYD-T097-P107";"10021420";"MOTOR AC,30KW,59A,4P,380V,ROTORNI";"Installed";"FIN3.RLHDLG/HP3-2B/M";"1949";"https://www.safesave.info/MIC.php?id=Fajar-MotorList1949";"2023-10-21 12:19:21";NULL
"EMO000091";"FP-01-PM1-AP3-T161-P178";;"MOTOR AC ABB ;90KW;169A;6P;380V;B";"Installed";"PM1.APP3.SL/P(FN)/M";"280";"https://www.safesave.info/MIC.php?id=Fajar-MotorList280";"2023-10-26 14:45:21";NULL
"EMO000092";"FP-01-PM1-AP3-T162-P179";;"AC MOTOR; ABB 380V,50HZ,11KW,4P,B";"Installed";"PM1.APP3.T1/P1/M";"281";"https://www.safesave.info/MIC.php?id=Fajar-MotorList281";"2023-10-26 14:45:21";NULL
"EMO000093";"FP-01-SP3-OCC-T011-P019";;"AC MOTOR;380V,50Hz,18.5kW,4P,180M,B3";"Installed";"SP3.C11/P21/M";"1840";"https://www.safesave.info/MIC.php?id=Fajar-MotorList1840";"2023-10-21 12:19:21";NULL
"EMO000094";"FP-01-SP1-MXW-T048-P061";;"MOTOR AC ABB 380V,50Hz,22kW,4P,180L,B3";"Installed";"SP1.MW.T2/P1/M";"155";"https://www.safesave.info/MIC.php?id=Fajar-MotorList155";"2023-10-26 14:45:21";NULL
"EMO000096";"FP-01-PM1-AP3-T164-P183";;"AC MOTOR ABB ;380V,50HZ,45KW,4P,380V,B";"Installed";"PM1.APP3.T3/P3/M";"285";"https://www.safesave.info/MIC.php?id=Fajar-MotorList285";"2023-10-26 14:45:21";NULL
"EMO000098";"FP-01-PM1-AP4-T165-A043";;"MOTOR AC TECO AEEB ;22KW;45,9A;6P;380V;200L,B3";"Installed";"PM1.APP4.C(BL)/AGT/M";"265";"https://www.safesave.info/MIC.php?id=Fajar-MotorList265";"2023-10-26 14:45:21";NULL
"EMO000100";"FP-01-PM1-AP4-T165-P184";;"MOTOR AC ABB ;22KW;43A;4P;380V;B";"Installed";"PM1.APP4.C(BL)/P1/M";"286";"https://www.safesave.info/MIC.php?id=Fajar-MotorList286";"2023-10-26 14:45:21";NULL
"EMO000101";"FP-01-PM1-BRS-T190-A056";;"MOTOR AC;18,5KW;36A;6P;380V;B";"Installed";"PM1.BR.C5/AGT2/M";"367";"https://www.safesave.info/MIC.php?id=Fajar-MotorList367";"2023-10-26 14:45:21";NULL
"EMO000103";"FP-01-SP1-CLD-T073-P095";;"AC MOTOR;ABB380V,50Hz,15kW,4P,160L,B";"Installed";"SP1.CL.C2/P1/M";"132";"https://www.safesave.info/MIC.php?id=Fajar-MotorList132";"2023-10-26 14:45:21";NULL
"EMO000104";"FP-01-PM1-AP4-T167-P186";;"MOTOR AC ABB ;55KW;108A;6P;380V;B";"Installed";"PM1.APP4.SL/P(FN)/M";"288";"https://www.safesave.info/MIC.php?id=Fajar-MotorList288";"2023-10-26 14:45:21";NULL
