emo_detail;manufacture;serial_number;type;power_rate;power_unit;voltage;current_nominal;frequency;pole;rpm;bearing_de;bearing_nde;frame_type;shaft_diameter;phase_supply;cos_phi;efficiency;ip_rating;insulation_class;duty;connection_type;nipple_grease;greasing_type;greasing_qty_de;greasing_qty_nde;length;width;height;weight;cooling_fan;mounting
EMO004099;Marathon;72106504j;HAA;200;kW;3000;51;50;6P;990 ;6324;6324;400;;3;0.82;91.9;55;Class F;S1;Start;Available;;;;;;400;;Internal;Horizontal
EMO004100;Marathon;72106503J;HAA;200;kW;3000;51;50;4P;1480;6324;6324;400;;3;0.82;;55;Class F;S1;Start;Available;;;;;;400;;Internal;Horizontal
EMO004101;Marathon;72104803j;HJN1;45;kW;380;84.4;50;4P;1455;6313;6313;225m;;3;0.87;93.1;55;Class F;S1;Delta;Not Available;;;;;;225;;Internal;Horizontal
EMO004273;SEW;;DRE;5.5;kW;380;11.1;50;4P;;;;132M4;;3;0.85;88.5;55;Class F;S1;Delta;Not Available;;;;;;;;Internal;Vertical
EMO004340;ABB;172;MBT;11;kW;380;23;50;6P;970 ;;;160;;3;;;;;;;Not Available;;;;-;-;;;Internal;Vertical
EMO004274;SEW;;DRE;1.5;kW;380;3.7;50;4P;1445;;;112M;;3;0.72;80.9;55;Class F;S1;Delta;Not Available;;;;-;-;;;Internal;Vertical
EMO000410;ABB;;MBT;15;KW;380;30;50;4P;1750;;;160L;;3;;;;class F;S;;Available;;;;-;-;160;;Internal;Horizontal
EMO004513;TMEIC;E167200HK;IDFCHK11;250;KW;420;405;50;4P;1750;6220;6220;280L;;3;;;44;Class F;s1;;Available;;;;Drive;;280;;Internal;Horizontal
EMO001288;TMEIC;;IDFCHK11;355;kw;420;575;59;4P;1750;6220;6220;315h;;3;;;44;Class F;S1;;Available;;;;Drive;;315;;Internal;Horizontal
EMO004515;TOSHIBA;60027256;IKK;11;KW;420;19.5;60;4P;1482;6310;6208;160M;;3;;;44;Class F;S1;;Not Available;;;;Drive;;160;;Internal;Horizontal
EMO004337;Siemens;N-H41479855010001;ILA4;355;KW;3000;84;50;4P;1482;6220 C3;6218 C3;;;3;0.85;;55;Class F;;;Available;;;;;;;;Internal;Horizontal
EMO004338;Siemens;N-H41479855010002;ILA4;355;KW;3000;84;50;4P;1492;6229 C3;6218 c3;;;3;9.85;;55;Class F;;;Available;;;;;;;;Internal;Horizontal
EMO004339;Siemens;N-H41479855010003;ILA4;355;KW;3000;84;50;2P;2915;6220 C3;6218 c3;;;3;0.85;;55;Class F;;;Available;;;;;;;;Internal;Horizontal
EMO003929;ABB;4,34729E+11;M3BP;11; ;380;20.5;50;2P;2975;6309;6309;160M;;3;0.89;;55;Class F;S1;Delta;Not Available;;;;;;160;;Internal;Horizontal
EMO003978;NORD;;SK;5.5;KW;380;6.2;50;4P;1465;;;112M;;3;;;55;Class F;s1;;Not Available;;;;;;112;;Internal;Horizontal
EMO004556;Marathon;;HJN1;15;kW;380;30;50;4P;1470;6309;6309;160L;;3;0.85;90.6;55;Class F;S1;Delta;Available;;;;;;160;;Internal;Horizontal
EMO003096;TECO;;AEEB;15;kW;380;28.5;50;2P;;6309;6307;160M;;3;;;55;Class B;S1;Delta;Not Available;;;;;;160;;Internal;Horizontal
