id;status;funcloc;sort_field;material_number;equipment_description;unique_id;qr_code_link;created_at
EMO003610;Installed;FP-01-SP2-NDL-RF02;SP2.ND.RF02(KN)/M;10038957;"AC MOTOR;380V,50Hz,0.1kW,2P";1106;https://www.safesave.info/MIC.php?id=Fajar-MotorList1106;2023-11-21 08:44:42
EMO003808;Installed;FP-01-SP2-NDL-RF02;SP2-NDL-RF02/P(OL)/M;;"AC MOTOR;380V,50Hz,0.75kW,4P,90L,B3";1107;https://www.safesave.info/MIC.php?id=Fajar-MotorList1107;2023-11-21 08:44:43
EMO000385;Installed;FP-01-SP2-NDL-RF01;SP2.ND.DDR1/M;;"AC MOTOR;3kV,50Hz,500kW,4P,450A,B3";1108;https://www.safesave.info/MIC.php?id=Fajar-MotorList1108;2023-11-21 08:44:44
EMO002124;Installed;FP-01-SP2-HYD-T144-P252;SP2.ND.RF1/T(HYD)/P1/M;10020632;"AC MOTOR;380V,50Hz,0.75kW,4P,80B,V1";1109;https://www.safesave.info/MIC.php?id=Fajar-MotorList1109;2023-11-21 08:44:45
EMO002127;Installed;FP-01-SP2-LUB-T040-P053;SP2.LUB.RF1/T(LUB)/P2/M;10010956;"AC MOTOR;380V,50Hz,0.55kW,6P,80M,B5";1110;https://www.safesave.info/MIC.php?id=Fajar-MotorList1110;2023-11-21 08:44:46
EMO000478;Available;;;10026377;"AC MOTOR;380V,50Hz,18.5kW,4P,180M,B3";1112;https://www.safesave.info/MIC.php?id=Fajar-MotorList1112;2023-11-21 08:44:47
EMO002073;Installed;FP-01-SP1-CPO-PU05-HYPG;SP1.PUL5/HYP/M;;"AC MOTOR;380V,50Hz,55kW,6P,280S,B3";1113;https://www.safesave.info/MIC.php?id=Fajar-MotorList1113;2023-11-21 08:44:48
EMO002132;Installed;FP-01-SP1-ONP-PU04-DRSR;SP1.PUL4.DRS/M;10010718;"AC MOTOR;380V,50Hz,7.5kW,4P,132M";1114;https://www.safesave.info/MIC.php?id=Fajar-MotorList1114;2023-11-21 08:44:49
EMO003020;Installed;FP-01-SP1-CPO-PU05;SP1.CPO.PUL5/GB/M;10010858;"AC MOTOR;380V,50Hz,160kW,6P,355S,B3";1115;https://www.safesave.info/MIC.php?id=Fajar-MotorList1115;2023-11-21 08:44:50
EMO003401;Installed;FP-01-SP1-MXW-PU02-RAGG;SP1.PUL2/RAG/M;;"AC MOTOR;380V,50Hz,0.75kW,6P,90L,B3";1116;https://www.safesave.info/MIC.php?id=Fajar-MotorList1116;2023-11-21 08:44:51
EMO002071;Installed;FP-01-SP1-MXW-PU02-PAL2;SP1.MW/PL-SORTER2/M;;"AC MOTOR;380V,50Hz,132kW,6P,315L,B3";1117;https://www.safesave.info/MIC.php?id=Fajar-MotorList1117;2023-11-21 08:44:52
EMO000066;Installed;FP-01-SP1-MXW-PU02-P404;SP1.MW.PU2.PAL2/P1/M;10010665;"AC MOTOR;380V,50Hz,55kW,4P,250S,B3";1118;https://www.safesave.info/MIC.php?id=Fajar-MotorList1118;2023-11-21 08:44:53
EMO003199;Installed;FP-01-SP1-MXW-PU02-P402;SP1.PUL2/P1/M;10010684;"AC MOTOR;380V,50Hz,75kW,4P,250M,B3";1119;https://www.safesave.info/MIC.php?id=Fajar-MotorList1119;2023-11-21 08:44:54
EMO003563;Available;;;10011047;"AC MOTOR;380V,50Hz,1.5kW,4P,90L,B3";1120;https://www.safesave.info/MIC.php?id=Fajar-MotorList1120;2023-11-21 08:44:55
EMO002072;Installed;FP-01-SP1-MXW-PU02;SP1.MW.PUL2/GB/M;;"AC MOTOR;3000V,50Hz,500kW,4P,450A,B3";1121;https://www.safesave.info/MIC.php?id=Fajar-MotorList1121;2023-11-21 08:44:56
EMO003807;Installed;FP-01-SP1-MXW-CN02;SP1.CON2/GB/M;;"AC MOTOR;380V,50Hz,30kW,4P,160L,B35";1123;https://www.safesave.info/MIC.php?id=Fajar-MotorList1123;2023-11-21 08:44:57
EMO003338;Installed;FP-01-PM2-WRS-T138-BL26;PM2.CWR.CTW1/BLW/M;;MOTOR;1124;https://www.safesave.info/MIC.php?id=Fajar-MotorList1124;2023-11-21 08:44:58
EMO000841;Installed;FP-01-PM2-WRS-T106-P109;PM2.SWR.T3/P2/M;;"AC MOTOR;380V,50Hz,3kW,2P,100L,V1";1125;https://www.safesave.info/MIC.php?id=Fajar-MotorList1125;2023-11-21 08:44:59
EMO002647;Installed;FP-01-PM2-WRS-T106-P108;PM2.SWR.T3/P1/M;;"AC MOTOR;380V,50Hz,3kW,2P,100L,V1";1126;https://www.safesave.info/MIC.php?id=Fajar-MotorList1126;2023-11-21 08:45:00
EMO003913;Installed;FP-01-PM2-WRS-T105-P107;PM2.SWR.T2/P3A/M;;"AC MOTOR;380V,50Hz,45kW,2P,225M,B3";1127;https://www.safesave.info/MIC.php?id=Fajar-MotorList1127;2023-11-21 08:45:01
EMO000838;Available;;;10010653;"AC MOTOR;380V,50Hz,110kW,4P,280M,B3";1128;https://www.safesave.info/MIC.php?id=Fajar-MotorList1128;2023-11-21 08:45:02
EMO000837;Installed;FP-01-PM2-WRS-T105-P105;PM2.SWR.T2/P2A/M;;"AC MOTOR;380V,50Hz,90kW,2P,280M,B3";1129;https://www.safesave.info/MIC.php?id=Fajar-MotorList1129;2023-11-21 08:45:03
EMO003122;Available;;;10010854;"AC MOTOR;380V,50Hz,90kW,2P,280M,B3";1130;https://www.safesave.info/MIC.php?id=Fajar-MotorList1130;2023-11-21 08:45:04
MGM000698;Available;;;10008608;"GR.MOTOR;0.40KW,i=200,GLS-32,TUNG LEE";1131;https://www.safesave.info/MIC.php?id=Fajar-MotorList1131;2023-11-21 08:45:05
EMO000835;Installed;FP-01-PM2-WRS-T105-P103;PM2.SWR.T2/P1A/M;;"AC MOTOR;380V,50Hz,132kW,2P,315M,B3";1132;https://www.safesave.info/MIC.php?id=Fajar-MotorList1132;2023-11-21 08:45:06
EMO003190;Installed;FP-01-PM2-WRS-T105-P102;PM2.SWR.T2/P1(P 852)/M;10010544;"AC MOTOR;380V,50Hz,132kW,2P,315S,B3";1133;https://www.safesave.info/MIC.php?id=Fajar-MotorList1133;2023-11-21 08:45:07
EMO002988;Available;;;10022190;"AC MOTOR;380V,50Hz,0.37kW,4P,80M,B5";1134;https://www.safesave.info/MIC.php?id=Fajar-MotorList1134;2023-11-21 08:45:08
EMO000260;Installed;FP-01-PM2-WRS-FU14-P133;PM2.MODIFIED/1;;"AC MOTOR;380V,50Hz,30kW,2P,200L,B3";1135;https://www.safesave.info/MIC.php?id=Fajar-MotorList1135;2023-11-21 08:45:09
