id;status;sort_field;funcloc;material_number;equipment_description;unique_id;qr_code_link;created_at
MGB000295;Installed;PM5.M6-CP2/GB;FP-01-PM5-RHD-CN14;;"GR.BOX;i=55.9,GETRIEBEBAU NORD,SK 5282AZ";;;2023-11-21 10:31:17
MGB000296;Installed;PM5.M7-CP2/GB;FP-01-PM5-RHD-CN15;;"GR.BOX;i=55.9,GETRIEBEBAU NORD,SK 5282AZ";;;2023-11-21 10:31:18
MGB000297;Installed;PM5.M8-CP2/GB;FP-01-PM5-RHD-CN16;;"GR.BOX;i=63.83,GETRIEBEBAU NORD,SK2282AZ";;;2023-11-21 10:31:20
MGB000298;Installed;PM5.M1-CP3/GB;FP-01-PM5-RHD-CN17;;GEARBOX;;;2023-11-21 10:31:21
MGB000299;Installed;PM5.M2-CP3/GB;FP-01-PM5-RHD-CN18;;GEARBOX;;;2023-11-21 10:31:22
MGB000300;Installed;PM5.M3-CP3/GB;FP-01-PM5-RHD-CN19;;GEARBOX;;;2023-11-21 10:31:23
MGB000301;Installed;PM5.M4-CP3/GB;FP-01-PM5-RHD-CN20;;GEARBOX;;;2023-11-21 10:31:24
MGB000302;Installed;PM5.M5-CP3/GB;FP-01-PM5-RHD-CN21;;GEARBOX;;;2023-11-21 10:31:25
MGB000303;Installed;PM5.M6-CP3/GB;FP-01-PM5-RHD-CN22;;GEARBOX;;;2023-11-21 10:31:26
MGB000304;Installed;PM5.M7-CP3/GB;FP-01-PM5-RHD-CN23;;GEARBOX;;;2023-11-21 10:31:27
MGB000305;Installed;PM5.M8-CP3/GB;FP-01-PM5-RHD-CN24;;GEARBOX;;;2023-11-21 10:31:28
MGB000306;Installed;PM5.M9-CP3/GB;FP-01-PM5-RHD-CN25;;GEARBOX;;;2023-11-21 10:31:29
MGB000307;Installed;PM5.M10-CP3/GB;FP-01-PM5-RHD-CN26;;GEARBOX;;;2023-11-21 10:31:30
MGB000308;Installed;PM5.M11-CP3/GB;FP-01-PM5-RHD-CN27;;GEARBOX;;;2023-11-21 10:31:31
MGB000309;Installed;PM5.M12-CP3/GB;FP-01-PM5-RHD-CN28;;GEARBOX;;;2023-11-21 10:31:32
MGB000310;Installed;PM5.M1-CP4/GB;FP-01-PM5-RHD-CN29;;GEARBOX;;;2023-11-21 10:31:33
MGB000311;Installed;PM5.M2-CP4/GB;FP-01-PM5-RHD-CN30;;GEARBOX;;;2023-11-21 10:31:34
MGB000312;Installed;PM5.M3-CP4/GB;FP-01-PM5-RHD-CN31;;GEARBOX;;;2023-11-21 10:31:35
MGB000313;Installed;PM5.M4-CP4/GB;FP-01-PM5-RHD-CN32;;GEARBOX;;;2023-11-21 10:31:36
EMO001533;Installed;PM5.M5-CP4/M;FP-01-PM5-RHD-CN33;;"AC MOTOR;380V;50Hz,0.75kW,4P,80L,V1";;;2023-11-21 10:31:37
MGB000314;Installed;PM5.M5-CP4/GB;FP-01-PM5-RHD-CN33;;GEARBOX;;;2023-11-21 10:31:38
MGB000315;Installed;PM5.M6-CP4/GB;FP-01-PM5-RHD-CN34;;GEARBOX;;;2023-11-21 10:31:39
MGB000316;Installed;PM5.M7-CP4/GB;FP-01-PM5-RHD-CN35;;GEARBOX;;;2023-11-21 10:31:40
MGB000317;Installed;PM5.M8-CP4/GB;FP-01-PM5-RHD-CN36;;GEARBOX;;;2023-11-21 10:31:41
MGB000318;Installed;PM5.M9-CP4/GB;FP-01-PM5-RHD-CN37;;GEARBOX;;;2023-11-21 10:31:42
MGB000319;Installed;PM5.M10-CP4/GB;FP-01-PM5-RHD-CN38;;GEARBOX;;;2023-11-21 10:31:43
MGB000581;Installed;5PFF01/GB;FP-01-PM5-STA-FU10;;"GEAR BOX;SK 32100AZ-80-S/4";;;2023-11-21 10:31:44
EMO001454;Installed;5PMFF02;FP-01-PM5-STA-FU12;;MOTOR;;;2023-11-21 10:31:45
MGB000582;Installed;5PFF02/GB;FP-01-PM5-STA-FU12;;"GEAR BOX;SK 32100AZ-80-S/4";;;2023-11-21 10:31:46
EMO001272;Installed;PM5.P-SC-9/M;FP-01-PM5-STC-T039-P101;10026451;"AC MOTOR;380V,50Hz,30kW,2P,200L,B3";;;2023-11-21 10:31:47
EMO001277;Installed;PM5.P-SC-3/M;FP-01-PM5-STC-T040-P103;10010528;"AC MOTOR;380V,50Hz,2.2KW,4P,100L,B3";;;2023-11-21 10:31:48
MFB000071;Installed;PM5.FAN-1;FP-01-PM5-VAS-BL03;;"C.BLOWER;8100m3/h,2542RPM,75kW,RTB 48";;;2023-11-21 10:31:49
MFB000072;Installed;PM5.FAN-2;FP-01-PM5-VAS-BL04;;"C.BLOWER;7200m3/h,2630RPM,37kW,MEBC 36";;;2023-11-21 10:31:50
EMO001233;Installed;PM5.M-SF-3.GB/M;FP-01-PM5-VAS-FU07;;MOTOR;;;2023-11-21 10:31:51
MGB000227;Installed;PM5.M-SF-3/GB;FP-01-PM5-VAS-FU07;;GEARBOX;;;2023-11-21 10:31:52
EMO001596;Installed;PM5.P-DV-10;FP-01-PM5-VAS-T045-P096;10027666;"AC MOTOR;380V,50Hz,55kW,4P,250M,B3";;;2023-11-21 10:31:53
EMO001230;Installed;PM5.P-DV-7/M;FP-01-PM5-VAS-T052-P093;;"AC MOTOR;380V,50Hz,5.5kW,4P,132S,B3";;;2023-11-21 10:31:54
MFB000391;Installed;PM5.VAS.LUB/BL-11003020;FP-01-PM5-VAS-T121-BL33;;"FAN BLOWER;G-BH12BH1300-1AH07-Z,DENVER";;;2023-11-21 10:31:55
MFB000392;Installed;PM5.VAS.LUB/BL-21003020;FP-01-PM5-VAS-T122-BL35;;"FAN BLOWER;G-BH12BH1300-1AH07-Z,DENVER";;;2023-11-21 10:31:56
MGB000217;Installed;PM5.VP02.GB;FP-01-PM5-VAS-VP02;;"GR.BOX;i=6.285,M2PSF50,SEW- EURODRIVE";;;2023-11-21 10:31:57
MGB000218;Installed;PM5.VP03.GB;FP-01-PM5-VAS-VP03;;"GR.BOX;i=5.769,M1PSF70,SEW- EURODRIVE";;;2023-11-21 10:31:58
MGB000219;Installed;PM5.VP04.GB;FP-01-PM5-VAS-VP04;;"GR.BOX;i=5.769,M1PSF70,SEW- EURODRIVE";;;2023-11-21 10:31:59
MGB000220;Installed;PM5.VP05.GB;FP-01-PM5-VAS-VP05;;"GR.BOX;i=5.769,M1PSF70,SEW- EURODRIVE";;;2023-11-21 10:32:00
MGB000694;Installed;PM5.VP06.GB;FP-01-PM5-VAS-VP06;10008518;"GR.BOX;i=6.246,PHD9070P2A-RLF-6,PARAMAX";;;2023-11-21 10:32:01
