id;status;funcloc;sort_field;material_number;equipment_description;unique_id;qr_code_link;created_at
EMO003421;Installed;FP-01-BO3-SLG-CN07;BO3.SLG.CN07/SLC2/M;;MOTOR SLAG CONVEYOR NO 2;5788;https://www.safesave.info/MIC.php?id=Fajar-MotorList5788;2023-11-21 09:30:21
EMO002433;Installed;FP-01-BO3-CHP-P110;BO3.CHP.P110/P1/M;;MOTOR PHOSPHATE FEED PUMP NO 1;5789;https://www.safesave.info/MIC.php?id=Fajar-MotorList5789;2023-11-21 09:30:22
EMO002434;Installed;FP-01-BO3-CHP-P111;BO3.CHP.P111/P2/M;;MOTOR PHOSPHATE FEED PUMP NO 2;5790;https://www.safesave.info/MIC.php?id=Fajar-MotorList5790;2023-11-21 09:30:23
EMO002435;Installed;FP-01-BO3-CHP-P100;BO3.CHP.P100/P1/M;;MOTOR HYDROZINE FEED PUMP NO 1;5791;https://www.safesave.info/MIC.php?id=Fajar-MotorList5791;2023-11-21 09:30:24
EMO002436;Installed;FP-01-BO3-CHP-P101;BO3.CHP.P101/P2/M;;MOTOR HYDROZINE FEED PUMP NO 2;5792;https://www.safesave.info/MIC.php?id=Fajar-MotorList5792;2023-11-21 09:30:25
EMO003557;Installed;FP-01-BO3-CAS-COM1;BO3.CAS.COM1/M;;MOTOR COMPRESSOR 1;5793;https://www.safesave.info/MIC.php?id=Fajar-MotorList5793;2023-11-21 09:30:26
EMO003558;Installed;FP-01-BO3-CAS-COM2;BO3.CAS.COM2/M;;MOTOR COMPRESSOR 2;5794;https://www.safesave.info/MIC.php?id=Fajar-MotorList5794;2023-11-21 09:30:27
EMO000021;Installed;FP-01-BO3-EFF-P210;BO3.EFF/WP-01/M;10010923;"AC MOTOR;380V,50Hz,7.5kW,4P,132M,B3";5795;https://www.safesave.info/MIC.php?id=Fajar-MotorList5795;2023-11-21 09:30:28
EMO003659;Installed;FP-01-BO3-CHP-A110;BO3.CHP.A110/MIX/M;10022192;"AC MOTOR;380V,0.55kW,4P PHOSPHATE";5796;https://www.safesave.info/MIC.php?id=Fajar-MotorList5796;2023-11-21 09:30:29
EMO003658;Installed;FP-01-BO3-CHP-A100;BO3.CHP.A100/MIX/M1;10022192;"AC MOTOR;380V,0.55kW,4P HYDROZINE";5797;https://www.safesave.info/MIC.php?id=Fajar-MotorList5797;2023-11-21 09:30:30
EMO002446;Available;;CP1.AHS.A014/DAM/M;10022240;"AC MOTOR;380V,50Hz,15kW,4P,160L,B3";5798;https://www.safesave.info/MIC.php?id=Fajar-MotorList5798;2023-11-21 09:30:31
EMO002447;Installed;FP-01-CP1-AHS-BL04;CP1.AHS.BL04/ROT_BLOWER/M;;"AC MOTOR;380V,50Hz,3kW,4P,112M,B3";5799;https://www.safesave.info/MIC.php?id=Fajar-MotorList5799;2023-11-21 09:30:32
EMO002449;Installed;FP-01-CP1-AHS-BL06;CP1.AHS.BL06/FAN/M;;"AC MOTOR;380V,50Hz,3kW,4P,112M,B3";5800;https://www.safesave.info/MIC.php?id=Fajar-MotorList5800;2023-11-21 09:30:33
EMO002232;Installed;FP-01-GT2-TRB-LUBE-P101;GT2.TRB.LUBE.P101/88QA/M;;AUXILIARY LUBE OIL PUMP MOTOR;5801;https://www.safesave.info/MIC.php?id=Fajar-MotorList5801;2023-11-21 09:30:34
EMO003407;Installed;FP-01-GT2-TRB-HEVE-BL05;GT2.TRB.HEVE.BL05/88VL-2/M;10023090;MOTOR,ILA.71064AA10Z,2.2KW,400V,SIEMENS;5802;https://www.safesave.info/MIC.php?id=Fajar-MotorList5802;2023-11-21 09:30:35
EMO002234;Installed;FP-01-GT2-GTG-LUBE;GT2-GTG-LUBE-88QV-1/M;;LUBE OIL MIST ELIMINATOR MOTOR;5803;https://www.safesave.info/MIC.php?id=Fajar-MotorList5803;2023-11-21 09:30:36
EMO003617;Installed;FP-01-GT2-TRB-CWAT-CLTW;GT2.TRB.CWAT.CLTW/88FC1/M;10023294;MOTOR,IL200L-10,11KW,380V,27.7A;5804;https://www.safesave.info/MIC.php?id=Fajar-MotorList5804;2023-11-21 09:30:37
EMO003618;Installed;FP-01-GT2-TRB-CWAT-CLTW;GT2.TRB.CWAT.CLTW/88FC2/M;10023294;MOTOR,IL200L-10,11KW,380V,27.7A;5805;https://www.safesave.info/MIC.php?id=Fajar-MotorList5805;2023-11-21 09:30:38
EMO003619;Installed;FP-01-GT2-TRB-CWAT-CLTW;GT2.TRB.CWAT.CLTW/88FC3/M;10023294;MOTOR,IL200L-10,11KW,380V,27.7A;5806;https://www.safesave.info/MIC.php?id=Fajar-MotorList5806;2023-11-21 09:30:39
EMO003620;Installed;FP-01-GT2-TRB-CWAT-CLTW;GT2.TRB.CWAT.CLTW/88FC4/M;10023294;MOTOR,IL200L-10,11KW,380V,27.7A;5807;https://www.safesave.info/MIC.php?id=Fajar-MotorList5807;2023-11-21 09:30:40
EMO003621;Installed;FP-01-GT2-TRB-CWAT-CLTW;GT2.TRB.CWAT.CLTW/88FC5/M;10023294;MOTOR,IL200L-10,11KW,380V,27.7A;5808;https://www.safesave.info/MIC.php?id=Fajar-MotorList5808;2023-11-21 09:30:41
EMO003622;Installed;FP-01-GT2-TRB-CWAT-CLTW;GT2.TRB.CWAT.CLTW/88FC6/M;10023294;MOTOR,IL200L-10,11KW,380V,27.7A;5809;https://www.safesave.info/MIC.php?id=Fajar-MotorList5809;2023-11-21 09:30:42
EMO004751;Available;;BO5.CMS.BL01/1M0301/M;10033787;"AC MOTOR;3000V,50Hz,500kW,4P,450M,B3";5810;https://www.safesave.info/MIC.php?id=Fajar-MotorList5810;2023-11-21 09:30:43
EMO004752;Available;;BO5-CMS-BL02/1M0341/M;10033797;"AC MOTOR;3000V,50Hz,315kW";5811;https://www.safesave.info/MIC.php?id=Fajar-MotorList5811;2023-11-21 09:30:44
EMO004755;Installed;FP-01-BO5-CMS-BL05;BO5.CMS.BL05/1M0441/M;;"AC MOTOR;3000V,50Hz,560kW,6P,450,B3";5812;https://www.safesave.info/MIC.php?id=Fajar-MotorList5812;2023-11-21 09:30:45
EMO004753;Installed;FP-01-BO5-CMS-BL03;BO5.CMS.BL03/RB1_1M0351/M;;"AC MOTOR;380V,50Hz,30kW,4P,200L,B3";5813;https://www.safesave.info/MIC.php?id=Fajar-MotorList5813;2023-11-21 09:30:46
EMO004754;Installed;FP-01-BO5-CMS-BL04;BO5.CMS.BL04/RB2_1M0352/M;;"AC MOTOR;380V,50Hz,30kW,4P,200L,B3";5814;https://www.safesave.info/MIC.php?id=Fajar-MotorList5814;2023-11-21 09:30:47
MGM001007;Available;;BO5.SLG.SRF1/1M3711/GM;10037542;"GR.MOTOR;3kW,i=71,BWD4-71-3,GUOMAO";5815;https://www.safesave.info/MIC.php?id=Fajar-MotorList5815;2023-11-21 09:30:48
MGM001008;Installed;FP-01-BO5-SLG-SRF2;BO5.SLG.SRF2/1M3721/GM;;"GR.MOTOR;3kW,i=?";5816;https://www.safesave.info/MIC.php?id=Fajar-MotorList5816;2023-11-21 09:30:49
EMO004757;Installed;FP-01-BO5-CMS-CN01;BO5.CMS.CN01/1M0611/M;;"AC MOTOR;380V,50Hz,3kW,4P,100L,V1";5817;https://www.safesave.info/MIC.php?id=Fajar-MotorList5817;2023-11-21 09:30:50
MGM001002;Available;;BO5.CFSY/CN06/1M0612;10035711;"GR.MOTOR;1.5kW,i=85.83,WSAT67-Y1.5-4P";5818;https://www.safesave.info/MIC.php?id=Fajar-MotorList5818;2023-11-21 09:30:51
EMO004758;Installed;FP-01-BO5-CMS-CN02;BO5.CMS.CN02/1M0621/M;;"AC MOTOR;380V,50Hz,3kW,4P,100L,V1";5819;https://www.safesave.info/MIC.php?id=Fajar-MotorList5819;2023-11-21 09:30:52
MGM001004;Installed;FP-01-BO5-CMS-CN02A;BO5.CMS.CN02A/1M0622/GM;;GeaMotoCleane1M0622;5820;https://www.safesave.info/MIC.php?id=Fajar-MotorList5820;2023-11-21 09:30:53
EMO004759;Installed;FP-01-BO5-CMS-CN03;BO5.CMS.CN03/1M0631/M;;"AC MOTOR;380V,50Hz,3kW,4P,100L,V1";5821;https://www.safesave.info/MIC.php?id=Fajar-MotorList5821;2023-11-21 09:30:54
MGM001006;Installed;FP-01-BO5-CMS-CN03A;BO5.CMS.CN03A/1M0632/GM;;GeaMotoCleane1M0632;5822;https://www.safesave.info/MIC.php?id=Fajar-MotorList5822;2023-11-21 09:30:55
